book_id,isbn13,language_id,num_pages,publication_date,publisher_id,publisher_name_x,publisher_name_y,author,order_count,title
57,9780006754893,1,239,2000-01-01,889,HarperCollins Publishers,HarperCollins Publishers,Joan Aiken,4,A Small Pinch of Weather
58,9780006861355,1,220,1993-09-13,725,Fontana Press,Fontana Press,Stephen Heath,7,Image-Music-Text
58,9780006861355,1,220,1993-09-13,725,Fontana Press,Fontana Press,Roland Barthes,7,Image-Music-Text
59,9780006906018,1,159,2000-01-01,882,HarperCollins,HarperCollins,Elinor M. Brent-Dyer,2,The Princess of the Chalet School
60,9780007102228,1,614,2007-11-05,910,HarperVoyager,HarperVoyager,Janny Wurts,6,Grand Conspiracy (Wars of Light & Shadow #5; Arc 3 - Alliance of Light  #2)
61,9780007104840,1,109,2000-06-01,889,HarperCollins Publishers,HarperCollins Publishers,Spencer Johnson,2,The One Minute Minute Sales Person
62,9780007105045,1,150,2001-02-05,891,HarperCollins Publishers Ltd,HarperCollins Publishers Ltd,J.R.R. Tolkien,6,Tree and Leaf: Includes Mythopoeia and The Homecoming of Beorhtnoth
63,9780007109661,1,375,2001-07-02,891,HarperCollins Publishers Ltd,HarperCollins Publishers Ltd,Dale Brown,3,Dreamland (Dreamland  #1)
63,9780007109661,1,375,2001-07-02,891,HarperCollins Publishers Ltd,HarperCollins Publishers Ltd,Jim DeFelice,3,Dreamland (Dreamland  #1)
64,9780007111503,1,347,2001-01-01,889,HarperCollins Publishers,HarperCollins Publishers,Agatha Christie,3,Partners in Crime (Tommy and Tuppence #2)
65,9780007116263,1,72,2003-11-06,882,HarperCollins,HarperCollins,Jude Fisher,2,The Lord of the Rings: The Return of the King - Visual Companion
66,9780007117536,1,279,2002-07-01,873,Harper Perennial,Harper Perennial,Douglas Coupland,6,All Families Are Psychotic
67,9780007120680,1,336,2001-09-03,864,Harper,Harper,Agatha Christie,4,Hallowe'en Party (Hercule Poirot  #39)
68,9780007120697,1,335,2001-09-01,889,HarperCollins Publishers,HarperCollins Publishers,Agatha Christie,5,Hercule Poirot's Christmas (Hercule Poirot  #20)
69,9780007121007,1,328,2002-07-01,889,HarperCollins Publishers,HarperCollins Publishers,Agatha Christie,11,Mrs. McGinty's Dead (Hercule Poirot  #30)
70,9780007121076,1,288,2008-07-01,889,HarperCollins Publishers,HarperCollins Publishers,David Suchet,2,Dead Man's Folly (Hercule Poirot  #33)
71,9780007126903,1,560,2010-02-01,889,HarperCollins Publishers,HarperCollins Publishers,Louis Menand,3,The Metaphysical Club
72,9780007127771,1,552,2002-06-17,2140,Voyager,Voyager,August Derleth,4,At the Mountains of Madness and Other Novels of Terror
72,9780007127771,1,552,2002-06-17,2140,Voyager,Voyager,E. Hoffmann Price,4,At the Mountains of Madness and Other Novels of Terror
72,9780007127771,1,552,2002-06-17,2140,Voyager,Voyager,H.P. Lovecraft,4,At the Mountains of Madness and Other Novels of Terror
73,9780007136582,1,1200,2002-09-16,1375,Not Avail,Not Avail,Rob Inglis,7,The Lord of the Rings (The Lord of the Rings  #1-3)
73,9780007136582,1,1200,2002-09-16,1375,Not Avail,Not Avail,Alan Lee,7,The Lord of the Rings (The Lord of the Rings  #1-3)
74,9780007137275,1,411,2003-04-07,882,HarperCollins,HarperCollins,Douglas A. Anderson,6,The Annotated Hobbit
74,9780007137275,1,411,2003-04-07,882,HarperCollins,HarperCollins,J.R.R. Tolkien,6,The Annotated Hobbit
75,9780007137435,1,484,2002-08-05,882,HarperCollins,HarperCollins,Christopher Tolkien,4,The History of Middle-Earth Index (The History of Middle-Earth  #13)
75,9780007137435,1,484,2002-08-05,882,HarperCollins,HarperCollins,J.R.R. Tolkien,4,The History of Middle-Earth Index (The History of Middle-Earth  #13)
76,9780007144082,1,1600,2002-10-07,427,Collins Modern Classics,Collins Modern Classics,J.R.R. Tolkien,7,The Lord of the Rings / The Hobbit
77,9780007144358,1,1270,2003-08-04,889,HarperCollins Publishers,HarperCollins Publishers,Merlin Holland,5,Complete Works of Oscar Wilde
77,9780007144358,1,1270,2003-08-04,889,HarperCollins Publishers,HarperCollins Publishers,Oscar Wilde,5,Complete Works of Oscar Wilde
78,9780007145591,5,685,2004-10-01,2140,Voyager,Voyager,,2,Naked Empire (Sword of Truth  #8)
79,9780007149117,1,116,2002-09-02,889,HarperCollins Publishers,HarperCollins Publishers,,5,Roverandom
80,9780007149124,1,178,2002-09-02,889,HarperCollins Publishers,HarperCollins Publishers,J.R.R. Tolkien,7,Tales from the Perilous Realm
81,9780007149827,1,414,2007-05-01,882,HarperCollins,HarperCollins,Michael Chabon,4,The Yiddish Policemen's Union
82,9780007152537,5,315,2003-11-03,712,Flamingo,Flamingo,Haven Kimmel,3,The Solace Of Leaving Early
83,9780007153589,1,306,2007-07-02,873,Harper Perennial,Harper Perennial,Jonathan Franzen,1,How to Be Alone
84,9780007157150,1,224,2005-12-05,882,HarperCollins,HarperCollins,C.S. Lewis,3,Out of the Silent Planet (The Space Trilogy  #1)
85,9780007158058,1,384,2004-10-05,873,Harper Perennial,Harper Perennial,Merlin Holland,3,The Real Trial of Oscar Wilde
86,9780007158515,1,48,2003-05-06,893,HarperCollinsChildren’sBooks,HarperCollinsChildren’sBooks,Dr. Seuss,6,I Can Read With My Eyes Shut!
87,9780007158522,1,48,2003-05-06,893,HarperCollinsChildren’sBooks,HarperCollinsChildren’sBooks,Dr. Seuss,5,Oh  The Places You’ll Go!
88,9780007162994,1,208,2003-04-07,712,Flamingo,Flamingo,,1,If I Die in a Combat Zone
89,9780007165162,1,401,2005-07-01,889,HarperCollins Publishers,HarperCollins Publishers,Sidney Sheldon,3,Are You Afraid of the Dark?
90,9780007169924,1,64,2003-08-04,2086,Vanguard Press,Vanguard Press,Dr. Seuss,3,And to Think That I Saw It on Mulberry Street
91,9780007169979,1,62,2003-08-04,893,HarperCollinsChildren’sBooks,HarperCollinsChildren’sBooks,Dr. Seuss,4,Ten Apples Up On Top!
91,9780007169979,1,62,2003-08-04,893,HarperCollinsChildren’sBooks,HarperCollinsChildren’sBooks,Theo LeSieg,4,Ten Apples Up On Top!
91,9780007169979,1,62,2003-08-04,893,HarperCollinsChildren’sBooks,HarperCollinsChildren’sBooks,Roy McKie,4,Ten Apples Up On Top!
92,9780007170401,1,398,2004-07-01,873,Harper Perennial,Harper Perennial,Amy Tan,0,The Opposite of Fate
93,9780007171996,1,554,2003-11-06,891,HarperCollins Publishers Ltd,HarperCollins Publishers Ltd,Rob Inglis,7,The Return of the King (The Lord of the Rings  #3)
93,9780007171996,1,554,2003-11-06,891,HarperCollins Publishers Ltd,HarperCollins Publishers Ltd,Brian Sibley,7,The Return of the King (The Lord of the Rings  #3)
94,9780007173136,1,64,2004-01-05,893,HarperCollinsChildren’sBooks,HarperCollinsChildren’sBooks,Theo LeSieg,4,I Wish That I Had Duck Feet
94,9780007173136,1,64,2004-01-05,893,HarperCollinsChildren’sBooks,HarperCollinsChildren’sBooks,Barney Tobey,4,I Wish That I Had Duck Feet
94,9780007173136,1,64,2004-01-05,893,HarperCollinsChildren’sBooks,HarperCollinsChildren’sBooks,Dr. Seuss,4,I Wish That I Had Duck Feet
95,9780007175192,1,64,2004-10-02,884,Harpercollins Children's Books,Harpercollins Children's Books,Dr. Seuss,2,Horton Hatches the Egg
96,9780007175222,1,36,2005-11-01,1170,London : Collins 2004.,London : Collins 2004.,Dr. Seuss,5,Oh Say Can You Say?
97,9780007176151,1,666,2004-04-05,873,Harper Perennial,Harper Perennial,,6,Wild Swans: Three Daughters of China
98,9780007177844,1,512,2006-05-01,733,Fourth Estate,Fourth Estate,Eric Sykes,5,If I Don't Write It Nobody Else Will: An Autobiography
99,9780007178483,1,343,2004-01-02,733,Fourth Estate,Fourth Estate,Azar Nafisi,4,Reading Lolita in Tehran
100,9780007179732,1,241,2015-12-31,871,Harper Element,Harper Element,Robin S. Sharma,4,The Monk Who Sold His Ferrari: A Fable about Fulfilling Your Dreams and Reaching Your Destiny (Revised)
101,9780007179817,1,371,2008-01-01,873,Harper Perennial,Harper Perennial,Douglas Coupland,1,Microserfs
102,9780007189953,1,454,2004-11-08,882,HarperCollins,HarperCollins,Cecelia Ahern,5,Where Rainbows End
103,9780007190683,2,727,2005-06-01,889,HarperCollins Publishers,HarperCollins Publishers,Agatha Christie,2,Poirot: The Complete Ariadne Oliver  Vol. 2
104,9780007195305,1,388,2004-10-01,873,Harper Perennial,Harper Perennial,Kevin R. Free,5,The Known World
105,9780007203949,1,752,2005-05-03,873,Harper Perennial,Harper Perennial,Leonard M. Friedman,8,The Mandarins
105,9780007203949,1,752,2005-05-03,873,Harper Perennial,Harper Perennial,Simone de Beauvoir,8,The Mandarins
106,9780007204441,1,289,2005-05-03,889,HarperCollins Publishers,HarperCollins Publishers,William S. Burroughs,5,Naked Lunch: The Restored Text
107,9780007204496,1,230,2005-04-04,873,Harper Perennial,Harper Perennial,,2,Fear and Loathing in Las Vegas
108,9780007718726,1,224,1998-12-17,1827,Simon & Schuster,Simon & Schuster,Frank McCourt,7,Angela's Ashes
109,9780020199854,1,169,1995-04-14,1777,Scribner,Scribner,F. Scott Fitzgerald,1,The Love of the Last Tycoon
110,9780020264736,1,208,1992-09-01,424,Collier Books,Collier Books,Evangeline Walton,2,The Song of Rhiannon
111,9780020360759,1,203,1995-03-17,1777,Scribner,Scribner,Annie Proulx,6,Heart Songs and Other Stories
112,9780020419709,1,178,1974-06-01,133,Atheneum,Atheneum,Carol Ryrie Brink,3,Winter Cottage
113,9780020421900,1,167,1987-04-30,46,Aladdin Paperbacks,Aladdin Paperbacks,Susan Cooper,6,Seaward
114,9780020442608,1,216,1970-01-01,1203,Macmillan Publishing Company/Collier Books,Macmillan Publishing Company/Collier Books,C.S. Lewis,7,The Voyage of the “Dawn Treader” (The Chronicles of Narnia  #3)
114,9780020442608,1,216,1970-01-01,1203,Macmillan Publishing Company/Collier Books,Macmillan Publishing Company/Collier Books,Pauline Baynes,7,The Voyage of the “Dawn Treader” (The Chronicles of Narnia  #3)
115,9780020518600,1,499,1987-03-01,1779,Scribner Classics,Scribner Classics,Ernest Hemingway,4,The Short Stories of Ernest Hemingway
116,9780023513206,1,95,1995-12-24,1462,Pearson,Pearson,Georg Wilhelm Friedrich Hegel,3,Reason in History
116,9780023513206,1,95,1995-12-24,1462,Pearson,Pearson,Robert S. Hartman,3,Reason in History
117,9780023895302,2,352,1962-01-11,1596,Prentice Hall/Simon & Schuster Company (Englewood Cliffs NJ),Prentice Hall/Simon & Schuster Company (Englewood Cliffs NJ),Hippocrates George Apostle,2,Nicomachean Ethics
117,9780023895302,2,352,1962-01-11,1596,Prentice Hall/Simon & Schuster Company (Englewood Cliffs NJ),Prentice Hall/Simon & Schuster Company (Englewood Cliffs NJ),Joe Sachs,2,Nicomachean Ethics
117,9780023895302,2,352,1962-01-11,1596,Prentice Hall/Simon & Schuster Company (Englewood Cliffs NJ),Prentice Hall/Simon & Schuster Company (Englewood Cliffs NJ),Martin Ostwald,2,Nicomachean Ethics
118,9780024021502,1,191,1958-01-11,1133,Library of Liberal Arts/Bobb-Merrill (Indianapolis IN),Library of Liberal Arts/Bobb-Merrill (Indianapolis IN),Augustine of Hippo,5,On Christian Doctrine
118,9780024021502,1,191,1958-01-11,1133,Library of Liberal Arts/Bobb-Merrill (Indianapolis IN),Library of Liberal Arts/Bobb-Merrill (Indianapolis IN),D.W. Robertson Jr.,5,On Christian Doctrine
119,9780024181909,2,85,1991-12-12,1202,MacMillan Publishing Company,MacMillan Publishing Company,,3,The Elements of Style
120,9780024266408,2,352,1966-01-11,1594,Prentice Hall/Library of Liberal Arts,Prentice Hall/Library of Liberal Arts,Philip Ellis Wheelwright,5,The Presocratics
121,9780024277800,2,368,1987-01-15,1595,Prentice Hall/Scribner/Macmillan,Prentice Hall/Scribner/Macmillan,Rolfe Humphries,5,The Aeneid (Verse Translation)
121,9780024277800,2,368,1987-01-15,1595,Prentice Hall/Scribner/Macmillan,Prentice Hall/Scribner/Macmillan,Virgil,5,The Aeneid (Verse Translation)
122,9780024288103,1,256,1973-03-11,1462,Pearson,Pearson,,2,Philosophical Investigations
123,9780025006058,2,215,1993-03-17,2180,Webster's New World,Webster's New World,Michael Avi-Yonah,4,The MacMillan Bible Atlas
123,9780025006058,2,215,1993-03-17,2180,Webster's New World,Webster's New World,Yohanan Aharoni,4,The MacMillan Bible Atlas
124,9780026995016,1,463,1976-02-05,1201,Macmillan Publ. Co.,Macmillan Publ. Co.,Albert Speer,7,Spandau: The Secret Diaries
125,9780028621302,1,384,1997-12-01,70,Alpha,Alpha,Allan Kozinn,8,Complete Idiot's Guide to The Beatles
125,9780028621302,1,384,1997-12-01,70,Alpha,Alpha,Richard Buskin,8,Complete Idiot's Guide to The Beatles
126,9780029131695,1,352,1995-02-01,740,Free Press,Free Press,Stephen L. Carter,3,Tyranny of the Majority: Fundamental Fairness in Representative Democracy
126,9780029131695,1,352,1995-02-01,740,Free Press,Free Press,Lani Guinier,3,Tyranny of the Majority: Fundamental Fairness in Representative Democracy
127,9780029221303,2,368,1986-09-15,740,Free Press,Free Press,Aldon D. Morris,2,The Origins of the Civil Rights Movements: Black Communities Organizing for Change
128,9780029227961,1,384,1991-03-01,740,Free Press,Free Press,Richard E. Neustadt,6,Presidential Power and the Modern Presidents: The Politics of Leadership from Roosevelt to Reagan
129,9780030420566,1,32,1978-03-01,980,Holt Rinehart and Winston Inc.,Holt Rinehart and Winston Inc.,Jacquelyn Reinach,4,Rest Rabbit Rest (Sweet Pickles  #18)
129,9780030420566,1,32,1978-03-01,980,Holt Rinehart and Winston Inc.,Holt Rinehart and Winston Inc.,Richard Hefter,4,Rest Rabbit Rest (Sweet Pickles  #18)
130,9780030547744,1,288,1998-09-01,981,Holt McDougal,Holt McDougal,Maya Angelou,3,Where the Red Fern Grows with Connections
130,9780030547744,1,288,1998-09-01,981,Holt McDougal,Holt McDougal,Rafe Martin,3,Where the Red Fern Grows with Connections
130,9780030547744,1,288,1998-09-01,981,Holt McDougal,Holt McDougal,Dick Perry,3,Where the Red Fern Grows with Connections
130,9780030547744,1,288,1998-09-01,981,Holt McDougal,Holt McDougal,Borden Deal,3,Where the Red Fern Grows with Connections
130,9780030547744,1,288,1998-09-01,981,Holt McDougal,Holt McDougal,Harold Courlander,3,Where the Red Fern Grows with Connections
130,9780030547744,1,288,1998-09-01,981,Holt McDougal,Holt McDougal,Wilson Rawls,3,Where the Red Fern Grows with Connections
130,9780030547744,1,288,1998-09-01,981,Holt McDougal,Holt McDougal,Kemp P. Battle,3,Where the Red Fern Grows with Connections
130,9780030547744,1,288,1998-09-01,981,Holt McDougal,Holt McDougal,Robert Bethke,3,Where the Red Fern Grows with Connections
130,9780030547744,1,288,1998-09-01,981,Holt McDougal,Holt McDougal,John R. Erickson,3,Where the Red Fern Grows with Connections
130,9780030547744,1,288,1998-09-01,981,Holt McDougal,Holt McDougal,Nicholasa Mohr,3,Where the Red Fern Grows with Connections
131,9780048231536,1,441,1979-03-12,2077,Unwin Paperbacks,Unwin Paperbacks,Ted Nasmith,2,The Silmarillion
132,9780060000141,1,256,2006-08-22,882,HarperCollins,HarperCollins,Brian Floca,3,Poppy's Return
132,9780060000141,1,256,2006-08-22,882,HarperCollins,HarperCollins,Avi,3,Poppy's Return
133,9780060001445,1,362,2002-07-30,164,Avon HarperCollins,Avon HarperCollins,Victoria Alexander,1,Her Highness  My Wife (Effingtons  #5)
